identity_a,identity_b,similarity
M375,M239,0.2516
M235,M237,0.2515
M149,M143,0.2513
M127,M345,0.2507
M190,M355,0.2506
M108,M239,0.2505
M383,M416,0.2505
M169,M128,0.2503
M143,M231,0.25
M270,M357,0.25
M185,M198,0.25
M386,M374,0.25
M383,M198,0.25
M169,M177,0.25
M128,M350,0.25
M383,M223,0.25
M198,M412,0.25
M143,M321,0.25
M163,M416,0.25
M329,M402,0.25
M347,M386,0.25
M169,M329,0.25
M347,M332,0.2499
M235,M262,0.2499
M321,M102,0.2495
M254,M345,0.2495
M183,M262,0.2488
M383,M239,0.2486
M375,M185,0.2486
M059,M178,0.2485
M103,M365,0.2481
M183,M168,0.2478
M239,M231,0.2478
M347,M383,0.2478
M239,M262,0.2477
M239,M355,0.2476
M155,M357,0.2476
M416,M357,0.2469
M177,M412,0.2467
M127,M102,0.2465
M401,M223,0.2464
M169,M332,0.2464
M149,M386,0.2464
M252,M262,0.2464
M127,M412,0.2464
M128,M231,0.2463
M169,M383,0.2458
M375,M321,0.2452
M375,M231,0.2452
M329,M178,0.245
M059,M304,0.2449
M163,M102,0.2447
M375,M351,0.2441
M149,M329,0.2438
M127,M357,0.2438
M149,M402,0.2438
M149,M155,0.2436
M168,M304,0.2433
M295,M374,0.2433
M347,M103,0.2432
M103,M304,0.2429
M103,M374,0.2429
M169,M103,0.2428
M103,M295,0.2427
M272,M254,0.2419
M272,M295,0.2419
M357,M223,0.2417
M355,M374,0.2417
M237,M223,0.2417
M295,M365,0.2417
M357,M386,0.2417
M177,M355,0.2417
M128,M412,0.2417
M402,M223,0.2417
M149,M351,0.2411
M163,M231,0.2405
M155,M168,0.2405
M108,M351,0.2405
M128,M295,0.2405
M108,M332,0.2405
M222,M321,0.2405
M222,M262,0.2405
M128,M351,0.2405
M347,M155,0.2404
M222,M151,0.2403
M401,M163,0.2401
M149,M128,0.2401
M127,M108,0.2401
M295,M329,0.2393
M351,M357,0.2393
M163,M295,0.2392
M401,M155,0.2392
M169,M127,0.2389
M059,M198,0.2387
M059,M375,0.2383
M347,M108,0.2381
M239,M351,0.2379
M237,M143,0.2379
M239,M350,0.2375
M252,M270,0.2375
M155,M350,0.2375
M169,M137,0.2375
M155,M177,0.237
M163,M237,0.2366
M103,M412,0.2366
M108,M155,0.2366
M237,M357,0.2364
M108,M357,0.2364
M222,M102,0.2363
M239,M223,0.2361
M350,M304,0.2361
M155,M386,0.2354
M383,M401,0.2353
M169,M347,0.2353
M401,M183,0.2352
M252,M295,0.2352
M168,M198,0.235
M168,M402,0.235
M169,M168,0.235
M351,M151,0.235
M198,M254,0.235
M168,M329,0.235
M270,M143,0.235
M137,M254,0.235
M137,M295,0.235
M127,M254,0.2349
M127,M295,0.2349
M149,M295,0.2349
M347,M143,0.2349
M237,M386,0.2347
M231,M332,0.2347
M168,M102,0.2347
M295,M102,0.2347
M401,M128,0.2345
M237,M365,0.2345
M365,M374,0.2343
M143,M304,0.2343
M375,M252,0.2341
M270,M304,0.2333
M169,M386,0.2333
M231,M351,0.2333
M198,M329,0.2333
M137,M198,0.2333
M185,M386,0.2333
M270,M103,0.233
M383,M351,0.2326
M375,M178,0.2323
M059,M127,0.2321
M190,M402,0.2318
M178,M223,0.2317
M155,M254,0.2317
M237,M321,0.2317
M237,M295,0.2316
M270,M365,0.2306
M237,M332,0.2305
M103,M321,0.2305
M347,M163,0.2301
M127,M235,0.2298
M059,M350,0.2297
M059,M347,0.2293
M347,M153,0.2291
M222,M357,0.2288
M270,M168,0.2288
M350,M231,0.2284
M128,M262,0.2281
M235,M355,0.2279
M235,M190,0.2279
M059,M272,0.2278
M127,M272,0.2271
M383,M357,0.2271
M272,M143,0.2268
M222,M332,0.2265
M163,M332,0.2265
M239,M102,0.2265
M183,M332,0.2265
M231,M153,0.2264
M375,M272,0.2263
M347,M183,0.2252
M347,M102,0.225
M347,M304,0.225
M169,M149,0.225
M347,M345,0.225
M185,M272,0.225
M183,M222,0.225
M383,M332,0.225
M252,M177,0.225
M198,M304,0.225
M169,M355,0.225
M357,M402,0.225
M270,M355,0.225
M355,M402,0.225
M169,M357,0.225
M350,M329,0.2245
M237,M272,0.2242
M235,M163,0.2242
M185,M239,0.2236
M350,M412,0.2236
M272,M351,0.2231
M239,M143,0.2228
M155,M143,0.2228
M155,M231,0.2228
M350,M254,0.2228
M321,M386,0.2226
M351,M178,0.2226
M143,M374,0.2226
M155,M402,0.2226
M321,M304,0.2226
M401,M185,0.2223
M355,M365,0.2222
M127,M416,0.2222
M149,M416,0.2222
M347,M190,0.2217
M149,M102,0.2215
M149,M347,0.2215
M402,M332,0.2214
M329,M102,0.2214
M345,M153,0.2214
M357,M332,0.2214
M345,M151,0.2214
M149,M412,0.2214
M347,M355,0.2214
M416,M231,0.2212
M347,M237,0.221
M185,M329,0.2202
M127,M231,0.2201
M149,M231,0.2201
M235,M321,0.2201
M149,M321,0.2201
M127,M321,0.2201
M178,M374,0.22
M223,M374,0.22
M235,M332,0.22
M059,M386,0.2199
M128,M345,0.2197
M163,M304,0.2194
M163,M386,0.2194
M190,M412,0.2188
M128,M183,0.2188
M222,M239,0.2188
M272,M412,0.2188
M127,M355,0.2188
M108,M183,0.2188
M149,M355,0.2188
M149,M357,0.2188
M163,M239,0.2188
M108,M350,0.2188
M185,M178,0.2179
M190,M223,0.2179
M252,M190,0.2178
M137,M102,0.2174
M270,M345,0.2173
M127,M178,0.2173
M375,M365,0.2168
M108,M412,0.2167
M177,M223,0.2167
M103,M185,0.2167
M108,M304,0.2167
M155,M198,0.2167
M239,M304,0.2167
M239,M386,0.2167
M103,M128,0.2167
M149,M103,0.2165
M127,M103,0.2165
M127,M163,0.2162
M237,M374,0.2159
M108,M295,0.2155
M059,M155,0.2155
M222,M143,0.2155
M103,M168,0.215
M252,M239,0.2147
M177,M295,0.2144
M177,M254,0.2144
M383,M185,0.2144
M169,M351,0.2143
M295,M402,0.2143
M321,M412,0.2143
M254,M329,0.2143
M295,M355,0.2143
M198,M321,0.2143
M177,M321,0.2143
M143,M198,0.2143
M103,M155,0.2139
M149,M270,0.2139
M103,M190,0.2139
M059,M185,0.2139
M252,M168,0.2139
M103,M239,0.2139
M059,M412,0.2137
M375,M254,0.2129
M237,M231,0.2129
M295,M332,0.2127
M231,M262,0.2127
M402,M153,0.2125
M128,M365,0.2124
M416,M168,0.2118
M375,M402,0.2117
M237,M355,0.2114
M155,M137,0.2114
M237,M329,0.2114
M183,M177,0.2114
M108,M345,0.2113
