seal_id,raw_sequence,role_string,interpretation,matched_clauses
seal_239,M014 M396 M235 M177 M391 M048 M336,START CORE REL CORE END END END,COMPOUND_ENTITY,Clause 1: [START CORE REL CORE END END END]
seal_609,M061 M290 M235 M207 M267 M293,START CORE REL CORE END END,COMPOUND_ENTITY,Clause 1: [START CORE REL CORE END END]
seal_1354,M021 M125 M277 M235 M183 M125,START BOUNDARY CORE REL CORE BOUNDARY,COMPOUND_ENTITY,Clause 2: [CORE REL CORE]
seal_1500,M211 M325 M252 M187 M065 M267,END CORE REL CORE END END,HEADLESS,Clause 1: [END CORE REL CORE END END]
